Data;Quantidade de Views
2020-01-18 16:14:56.277328;31.838 
2020-01-18 16:17:32.778174;31.838 
2020-01-18 16:17:45.896202;31.838 
2020-01-18 16:20:15.263109;31.838 
2020-01-18 16:23:13.921895;31.846 
2020-01-18 16:25:27.175661;31.846 
2020-01-18 16:26:58.737634;31.876 
2020-01-18 16:27:22.384971;31.876 
2020-01-18 16:27:45.083638;31.876 
2020-01-18 16:29:07.262682;31.876 
2020-01-18 16:29:34.286904;31.876 
2020-01-18 16:30:33.685706;31.876 
2020-01-18 16:30:42.470982;31.904 
2020-01-18 16:30:48.318345;31.904 
2020-01-18 16:31:20.315010;31.904 
2020-01-18 16:32:15.425406;31.904 
2020-01-18 16:35:47.894082;31.938 
2020-01-18 16:36:51.713622;31.938 
2020-01-18 16:37:55.696658;31.938 
2020-01-18 16:38:59.628137;31.938 
2020-01-18 16:51:20.620212;31.956 
2020-01-18 16:51:30.192768;31.956 
2020-01-18 17:02:56.398614;32.027 
2020-01-18 17:04:00.511682;32.027 
2020-01-18 17:05:04.929348;32.027 
2020-01-18 17:05:38.756248;32.046 
2020-01-18 17:06:09.191785;32.047 
2020-01-18 17:07:13.137019;32.047 
2020-01-18 17:08:17.583752;32.048 
2020-01-18 17:09:21.283700;32.048 
2020-01-18 17:10:25.395383;32.048 
2020-01-18 17:11:29.109652;32.048 
2020-01-18 17:12:32.727046;32.048 
2020-01-18 17:13:36.419764;32.048 
2020-01-18 17:14:40.067940;32.048 
2020-01-18 17:15:43.786935;32.048 
2020-01-18 17:16:47.612213;32.048 
2020-01-18 17:17:51.295239;32.048 
2020-01-18 17:18:54.910467;32.048 
2020-01-18 17:19:58.400832;32.048 
2020-01-18 17:21:02.109867;32.061 
2020-01-18 17:22:06.157166;32.061 
2020-01-18 17:23:11.771216;32.061 
2020-01-18 17:24:15.622412;32.061 
2020-01-18 17:25:19.718963;32.061 
2020-01-18 17:26:23.642798;32.100 
2020-01-18 17:27:27.392919;32.100 
2020-01-18 17:28:31.574601;32.100 
2020-01-18 17:29:35.211114;32.100 
2020-01-18 17:30:38.610858;32.131 
2020-01-18 17:31:42.139414;32.131 
2020-01-18 17:32:45.665858;32.131 
2020-01-18 17:33:49.287288;32.131 
2020-01-18 17:34:52.711403;32.131 
2020-01-18 17:35:56.222845;32.154 
2020-01-18 17:36:59.643942;32.155 
2020-01-18 17:38:03.124359;32.155 
2020-01-18 17:39:06.683115;32.155 
2020-01-18 17:40:10.178237;32.155 
2020-01-18 17:41:13.749214;32.155 
2020-01-18 17:42:17.254905;32.155 
2020-01-18 17:43:20.724421;32.155 
2020-01-18 17:44:24.172230;32.155 
2020-01-18 17:45:27.631630;32.155 
2020-01-18 17:46:31.252901;32.156 
2020-01-18 17:47:34.767585;32.156 
2020-01-18 17:48:38.251363;32.156 
2020-01-18 17:49:42.020684;32.156 
2020-01-18 17:50:45.365003;32.185 
2020-01-18 17:51:49.830008;32.185 
2020-01-18 17:52:53.900809;32.185 
2020-01-18 17:53:57.608113;32.185 
2020-01-18 17:55:01.498375;32.185 
2020-01-18 17:56:05.100362;32.209 
2020-01-18 17:57:08.659444;32.209 
2020-01-18 17:58:12.044491;32.209 
2020-01-18 17:59:15.397777;32.209 
2020-01-18 18:00:18.636686;32.209 
2020-01-18 18:01:22.395740;32.246 
2020-01-18 18:02:27.660947;32.246 
2020-01-18 18:03:32.813872;32.246 
2020-01-18 18:04:37.557544;32.246 
2020-01-18 18:05:41.883871;32.249 
2020-01-18 18:06:46.626716;32.246 
2020-01-18 18:07:51.664899;32.249 
2020-01-18 18:08:56.747203;32.249 
2020-01-18 18:10:01.835007;32.249 
2020-01-18 18:11:07.738020;32.249 
2020-01-18 18:12:14.190299;32.249 
2020-01-18 18:13:20.525391;32.249 
2020-01-18 18:14:26.515734;32.249 
2020-01-18 18:15:31.771751;32.249 
2020-01-18 18:16:35.687398;32.249 
2020-01-20 11:40:19.596517;36.369 
2020-01-20 11:41:23.582742;36.388 
2020-01-20 11:42:27.697799;36.388 
2020-01-20 11:43:33.253628;36.388 
2020-01-20 11:44:36.952009;36.388 
2020-01-20 11:45:40.493226;36.401 
2020-01-20 11:46:44.108964;36.401 
2020-01-20 11:47:47.662978;36.401 
2020-01-20 11:48:51.484531;36.401 
2020-01-20 11:49:55.456654;36.401 
2020-01-20 11:50:59.452788;36.401 
